Parent Sku,Marketplace SKU,SKU,Status,Active?
MI-7160,MI-7160,317541355,Onboarded,Yes
MI-7817,MI-7817,319167575,Onboarded,Yes
MI-7818,MI-7818,319167639,Onboarded,Yes
TS-7005,TS-7005,319601367,Onboarded,Yes
MI-SB41,MI-SB41,317541070,Onboarded,Yes
MI-SB39,MI-SB39,317541094,Onboarded,Yes
MI-SB37,MI-SB37,317541120,Onboarded,Yes
MI-SB50,MI-SB50,327686732,Onboarded,Yes
MI-7610,MI-7610,319601793,Onboarded,Yes
MI-SB434,MI-SB434,319601559,Onboarded,Yes
MI-SB44,MI-SB44,319601632,Onboarded,Yes
MI-SB45,MI-SB45,319601653,Onboarded,Yes
MI-SB454,MI-SB454,319601664,Onboarded,Yes
MI-SB03,MI-SB03,319601808,Onboarded,Yes
MI-SB28,MI-SB28,319601935,Onboarded,Yes
MI-1232,MI-1232,322384784,Onboarded,Yes
MI-SB52,MI-SB52,322384787,Onboarded,Yes
MI-SB130,MI-SB130,329787480,Onboarded,Yes
MI-512B,MI-512B,319149673,Onboarded,Yes
MI-512L,MI-512L,319149619,Onboarded,Yes
MI-514,MI-514,319149632,Onboarded,Yes
MI-515,MI-515,319149638,Onboarded,Yes
MI-606L,MI-606L,319149758,Onboarded,Yes
MI-606S,MI-606S,319149764,Onboarded,Yes
MI-3050,MI-3050,314606921,Onboarded,Yes
MI-4601,MI-4601,314610387,Onboarded,Yes
MI-4471,MI-4471,314610404,Onboarded,Yes
MI-1121M,MI-1121M,314610419,Onboarded,Yes
MI-3991XL,MI-3991XL,314610433,Onboarded,Yes
MI-431,MI-431,314610521,Onboarded,Yes
MI-4461-CBL,MI-4461-CBL,314707924,Onboarded,Yes
MI-4110,MI-4110,314708637,Onboarded,Yes
MI-318L,MI-318L,314711714,Onboarded,Yes
MI-3030,MI-3030,314744881,Onboarded,Yes
MI-372,MI-372,315699163,Onboarded,Yes
MI-392,MI-392,315699175,Onboarded,Yes
MI-4151,MI-4151,315707907,Onboarded,Yes
MI-429,MI-429,315708036,Onboarded,Yes
MI-2042,MI-2042,315708116,Onboarded,Yes
MI-2042L,MI-2042L,315716919,Onboarded,Yes
MI-383,MI-383,315725596,Onboarded,Yes
MI-404,MI-404,316091450,Onboarded,Yes
MI-752,MI-752,316091476,Onboarded,Yes
MI-782,MI-782,317535387,Onboarded,Yes
MI-787,MI-787,317535401,Onboarded,Yes
MI-878,MI-878,317535433,Onboarded,Yes
MI-2041,MI-2041,317535630,Onboarded,Yes
MI-2829,MI-2829,317535749,Onboarded,Yes
MI-407-1,MI-407-1,317535811,Onboarded,Yes
MI-6524,MI-6524,317535965,Onboarded,Yes
MI-4200,MI-4200,317535997,Onboarded,Yes
MI-1131L,MI-1131L,317539737,Onboarded,Yes
MI-303B,MI-303B,317539843,Onboarded,Yes
MI-8401,MI-8401,317540246,Onboarded,Yes
MI-4211,MI-4211,317540372,Onboarded,Yes
MI-894,MI-894,317540420,Onboarded,Yes
MI-4222,MI-4222,317540438,Onboarded,Yes
MI-4481,MI-4481,317540463,Onboarded,Yes
MI-874,MI-874,317540480,Onboarded,Yes
MI-369B,MI-369B,317540502,Onboarded,Yes
MI-501L,MI-501L,317540630,Onboarded,Yes
MI-604,MI-604,317541249,Onboarded,Yes
MI-1121L,MI-1121L,318971331,Onboarded,Yes
MI-1246F,MI-1246F,318972333,Onboarded,Yes
MI-13050XL,MI-13050XL,318972357,Onboarded,Yes
MI-1771,MI-1771S,318972451,Onboarded,Yes
MI-1870,MI-1870,318972473,Onboarded,Yes
MI-1876,MI-1876,318972479,Onboarded,Yes
MI-1877,MI-1877,318972625,Onboarded,Yes
MI-203T,MI-203T,318972651,Onboarded,Yes
MI-2041L,MI-2041L,318972887,Onboarded,Yes
MI-2065L,MI-2065L,318989157,Onboarded,Yes
MI-2244T,MI-2244T,318989165,Onboarded,Yes
MI-3030XL,MI-3030XL,319000509,Onboarded,Yes
MI-306,MI-306,319000648,Onboarded,Yes
MI-346L,MI-346L,319000630,Onboarded,Yes
