Parent Sku,Marketplace SKU,SKU,Links,Status,Active?
MI-954,MI-954,9SIA3C9JFD9511,https://www.newegg.com/p/303-00MA-00001?Item=9SIA3C9JFD9511,Onboarded,Yes
MI-7135,MI-7135,9SIA3C98NE4515,https://www.newegg.com/mount-it-desk-accessories-organizers/p/2T4-00BM-00080?Item=9SIA3C98NE4515,Onboarded,Yes
MI-3872B,MI-3872B,9SIA3C9JFA5002,https://www.newegg.com/p/0ZK-02CK-00074?Item=9SIA3C9JFA5002,Onboarded,Yes
MI-4225,MI-4225,9SIA3C9JFA5003,https://www.newegg.com/p/0ZK-02CK-00075?Item=9SIA3C9JFA5003,Onboarded,Yes
MI-3870B,MI-3870B,9SIA3C9JFA5000,https://www.newegg.com/p/0ZK-02CK-00072?Item=9SIA3C9JFA5000,Onboarded,Yes
MI-3871B,MI-3871B,9SIA3C9JFA5001,https://www.newegg.com/p/0ZK-02CK-00073?Item=9SIA3C9JFA5001,Onboarded,Yes
MI-396,MI-396,9SIA3C9JFA5004,https://www.newegg.com/p/0ZK-02CK-00076?Item=9SIA3C9JFA5004,Onboarded,Yes
MI-SB50,MI-SB50,9SIA3C9JFA4999,https://www.newegg.com/p/0ZK-02CK-00071?Item=9SIA3C9JFA4999,Onboarded,Yes
MI-1352T,MI-1352T,9SIA3C9JFA4998,https://www.newegg.com/p/0ZK-02CK-00070?Item=9SIA3C9JFA4998,Onboarded,Yes
MI-395,MI-395,9SIA3C9J0J3398,https://www.newegg.com/p/169-0027-001S7?Item=9SIA3C9J0J3398,Onboarded,Yes
MI-7352LTMN,MI-7352LTMN,9SIA3C9J0F0263,https://www.newegg.com/p/1B4-026U-000X7?Item=9SIA3C9J0F0263,Onboarded,Yes
MI-7270NEW,MI-7270NEW,9SIA3C9HZA4900,https://www.newegg.com/p/0VE-01BW-00014?Item=9SIA3C9HZA4900,Onboarded,#N/A
MI-4224,MI-4224,9SIA3C9HZA4521,https://www.newegg.com/p/169-0027-001S6?Item=9SIA3C9HZA4521,Onboarded,Yes
MI-7352LT,MI-7352LT,9SIA3C9HZA4286,https://www.newegg.com/p/0VE-01BW-00013?Item=9SIA3C9HZA4286,Onboarded,Yes
MI-7135_BNDL,MI-7135_BNDL,9SIA3C9HMU0454,https://www.newegg.com/p/15Z-000M-009G8?Item=9SIA3C9HMU0454,Onboarded,#N/A
MI-2753_BNDL,MI-2753_BNDL,9SIA3C9HMU0422,https://www.newegg.com/p/15Z-000M-009G7?Item=9SIA3C9HMU0422,Onboarded,#N/A
MI-427,MI-427,9SIA3C9HHW5167,https://www.newegg.com/p/2RC-015F-00073?Item=9SIA3C9HHW5167,Onboarded,Yes
MI-7281B,MI-7281B,9SIA3C9HC51047,https://www.newegg.com/p/17B-06RZ-00001?Item=9SIA3C9HC51047,Onboarded,Yes
MI-7633,MI-7633,9SIA3C9HC50626,https://www.newegg.com/p/2NS-00AV-00005?Item=9SIA3C9HC50626,Onboarded,Yes
MI-7632,MI-7632,9SIA3C9HC50475,https://www.newegg.com/p/2NS-00AV-00004?Item=9SIA3C9HC50475,Onboarded,Yes
MI-7631,MI-7631,9SIA3C9HC50394,https://www.newegg.com/p/2NS-00AV-00003?Item=9SIA3C9HC50394,Onboarded,Yes
MI-7314,MI-7314,9SIA3C9HC49640,https://www.newegg.com/p/35H-0067-00055?Item=9SIA3C9HC49640,Onboarded,Yes
MI-7313,MI-7313,9SIA3C9HC49392,https://www.newegg.com/p/35H-0067-00054?Item=9SIA3C9HC49392,Onboarded,Yes
MI-7157,MI-7157,9SIA3C9H2T2036,https://www.newegg.com/p/1W8-010E-00037?Item=9SIA3C9H2T2036,Onboarded,Yes
MI-18071,MI-18071,9SIA3C9GV79742,https://www.newegg.com/p/2T4-00BM-000J0?Item=9SIA3C9GV79742,Onboarded,Yes
MI-18070,MI-18070,9SIA3C9GV79580,https://www.newegg.com/p/2T4-00BM-000H9?Item=9SIA3C9GV79580,Onboarded,Yes
MI-18069,MI-18069,9SIA3C9GV79358,https://www.newegg.com/p/2T4-00BM-000H8?Item=9SIA3C9GV79358,Onboarded,Yes
MI-18065,MI-18065,9SIA3C9GV72982,https://www.newegg.com/p/2T4-00BM-000H4?Item=9SIA3C9GV72982,Onboarded,Yes
MI-18064,MI-18064,9SIA3C9GV69154,https://www.newegg.com/p/2T4-00BM-000H3?Item=9SIA3C9GV69154,Onboarded,Yes
MI-18063,MI-18063,9SIA3C9GV20109,https://www.newegg.com/mount-it-desks-laptop-stands/p/2T4-00BM-000H2?Item=9SIA3C9GV20109,Onboarded,#N/A
MI-18062,MI-18062,9SIA3C9GUR9680,https://www.newegg.com/mount-it-desks-laptop-stands/p/2T4-00BM-000H1?Item=9SIA3C9GUR9680,Onboarded,Yes
MI-18060,MI-18060,9SIA3C9GUC1406,https://www.newegg.com/p/1HJ-0102-00002?Item=9SIA3C9GUC1406,Onboarded,Yes
MI-7366,MI-7366,9SIA3C9GRM4270,https://www.newegg.com/p/15Z-000M-00901?Item=9SIA3C9GRM4270,Onboarded,Yes
MI-481,MI-481,9SIA3C9GRM4269,https://www.newegg.com/p/15Z-000M-00900?Item=9SIA3C9GRM4269,Onboarded,Yes
MI-482,MI-482,9SIA3C9GRM4271,https://www.newegg.com/p/15Z-000M-00902?Item=9SIA3C9GRM4271,Onboarded,Yes
MI-392_BNDL,MI-392_BNDL,9SIA3C9G931253,https://www.newegg.com/p/169-0027-001S2?Item=9SIA3C9G931253,Onboarded,#N/A
MI-345_BNDL,MI-345_BNDL,9SIA3C9G931222,https://www.newegg.com/p/169-0027-001R8?Item=9SIA3C9G931222,Onboarded,#N/A
MI-4481_BNDL,MI-4481_BNDL,9SIA3C9G931206,https://www.newegg.com/p/169-0027-001R6?Item=9SIA3C9G931206,Onboarded,#N/A
MI-4110_BNDL,MI-4110_BNDL,9SIA3C9G931246,https://www.newegg.com/p/169-0027-001S1?Item=9SIA3C9G931246,Onboarded,#N/A
MI-2042,MI-2042_BNDL,9SIA3C9G931192,https://www.newegg.com/p/169-0027-001R5?Item=9SIA3C9G931192,Onboarded,Yes
MI-372_BNDL,MI-372_BNDL,9SIA3C9G931244,https://www.newegg.com/p/169-0027-001S0?Item=9SIA3C9G931244,Onboarded,#N/A
MI-509L_BNDL,MI-509L_BNDL,9SIA3C9G931177,https://www.newegg.com/p/169-0027-001R4?Item=9SIA3C9G931177,Onboarded,#N/A
MI-20412,MI-20412,9SIA3C9FY61116,https://www.newegg.com/p/169-0027-001P4?Item=9SIA3C9FY61116,Onboarded,#N/A
MI-20105,MI-20105,9SIA3C9FY61118,https://www.newegg.com/p/169-0027-001P6?Item=9SIA3C9FY61118,Onboarded,#N/A
MI-20305,MI-20305,9SIA3C9FY61114,https://www.newegg.com/p/169-0027-001P2?Item=9SIA3C9FY61114,Onboarded,#N/A
MI-394,MI-394,9SIA3C9FU45774,https://www.newegg.com/mount-it-mi-394/p/169-0027-001N7?Item=9SIA3C9FU45774,Onboarded,Yes
MI-1013,MI-1013,9SIA3C9FCY1217,https://www.newegg.com/p/3EB-005K-00002?Item=9SIA3C9FCY1217,Onboarded,Yes
MI-1201,MI-1201,9SIA3C9FCY1201,https://www.newegg.com/p/3EB-005K-00001?Item=9SIA3C9FCY1201,Onboarded,Yes
MI-1101,MI-1101,9SIA3C9FCY0812,https://www.newegg.com/ergoactive-chair-furniture-accessories/p/2T4-00BM-000G8?Item=9SIA3C9FCY0812,Onboarded,Yes
MI-923,MI-923,9SIA3C9FC94236,https://www.newegg.com/p/2VU-0123-00027?Item=9SIA3C9FC94236,Onboarded,#N/A
MI-914,MI-914,9SIA3C9FC94234,https://www.newegg.com/p/2VU-0123-00025?Item=9SIA3C9FC94234,Onboarded,Yes
MI-924,MI-924,9SIA3C9FC94233,https://www.newegg.com/p/2VU-0123-00024?Item=9SIA3C9FC94233,Onboarded,Yes
TS-7006,TS-7006,9SIA3C9EV02913,https://www.newegg.com/mount-it-ts-7006/p/2RC-015F-00012?Item=9SIA3C9EV02913,Onboarded,Yes
MI-SB28,MI-SB28,9SIA3C9EV02572,https://www.newegg.com/p/0RC-000M-000Y2?Item=9SIA3C9EV02572,Onboarded,Yes
MI-SB03 X 2,MI-SB03 X 2,9SIA3C9EV01422,https://www.newegg.com/p/0RC-000M-000X9?Item=9SIA3C9EV01422,Onboarded,#N/A
MI-SB03,MI-SB03,9SIA3C9EV00887,https://www.newegg.com/p/0TG-00EM-00002?Item=9SIA3C9EV00887,Onboarded,Yes
