Parent Sku,Marketplace SKU,SKU,Status
MI-8032,MI-8032,n/a,NFC
MI-4752,MI-4752,n/a,NFC
MI-4752WHT,MI-4752WHT,n/a,NFC
MI-8752BLK,MI-8752BLK,n/a,NFC
MI-4751BLK,MI-4751BLK,n/a,NFC
MI-4751WHT,MI-4751WHT,n/a,NFC
MI-4781,MI-4781,n/a,NFC
MI-10201,MI-10201,5677904,Onboarded
MI-10203,MI-10203,3079895,Onboarded
MI-1121L,MI-1121L,8426419,Onboarded
MI-1121M,MI-1121M,9427904,Onboarded
MI-363,MI-363,9430142,Onboarded
MI-1210S,MI-1210S,5277964,Removed
MI-1214S,MI-1214S,5333063,Removed
MI-3991XL,MI-3991XL,3836135,Onboarded
MI-13050XL,MI-13050XL,6858998,Removed
MI-20103,MI-20103,8633151,Removed
MI-1401,MI-1401,7346881,Removed
MI-1752,MI-1752,9698521,Onboarded
MI-1753,MI-1753,2500080,Onboarded
MI-1757,MI-1757,2868992,Onboarded
MI-20105,MI-20105,4125411,Removed
MI-1761,MI-1761,3242002,Removed
MI-20107,MI-20107,6023544,Removed
MI-20119,MI-20119,7891640,Removed
MI-1771B,MI-1771B,9343367,Onboarded
MI-1772B,MI-1772B,4799758,Onboarded
MI-1781,MI-1781,5331939,Onboarded
MI-1860,MI-1860,5380643,Removed
MI-20202,MI-20202,5707778,Removed
MI-1874,MI-1874,9883141,Removed
MI-1875,MI-1875,9008678,Onboarded
MI-1876,MI-1876,5112650,Onboarded
MI-1878,MI-1878,5902863,Removed
MI-1879,MI-1879,8044610,Removed
MI-20305,MI-20305,6573329,Onboarded
MI-20810,MI-20810,4560042,Removed
MI-31111,MI-31111,4611013,Onboarded
MI-32111,MI-32111,2618197,Onboarded
MI-514,MI-514,6821744,Removed
MI-20201,MI-20201,8647914,Removed
MI-32114,MI-32114,8189657,Onboarded
MI-32116,MI-32116,6869012,Onboarded
MI-203T,MI-203T,4063268,Onboarded
MI-2041,MI-2041,6034485,Onboarded
MI-20411,MI-20411,3357729,Removed
MI-20412,MI-20412,8995109,Removed
MI-33111,MI-33111,6000677,Onboarded
MI-2041L,MI-2041L,9427943,Onboarded
MI-2042,MI-2042,6991639,Onboarded
MI-20422,MI-20422,4304730,Removed
MI-2042L,MI-2042L,8671863,Onboarded
MI-2065L,MI-2065L,7642392,Onboarded
MI-20701,MI-20701,7342161,Removed
MI-33114,MI-33114,2144843,Onboarded
MI-2171L,MI-2171L,5045721,Removed
MI-2244T,MI-2244T,9428024,Onboarded
MI-2291,MI-2291,9427532,Removed
MI-33116,MI-33116,4791326,Onboarded
MI-34111,MI-34111,3628556,Onboarded
MI-34114,MI-34114,8379538,Onboarded
MI-2751,MI-2751,5422043,Onboarded
MI-2751NB,MI-2751NB,7666937,Removed
MI-2752,MI-2752,9805887,Onboarded
MI-34116,MI-34116,8653755,Onboarded
MI-2753,MI-2753,3854141,Onboarded
MI-35114,MI-35114,7928645,Onboarded
MI-2761,MI-2761,8740995,Onboarded
MI-2762,MI-2762,8761343,Onboarded
MI-2772,MI-2772,7641039,Onboarded
MI-2781,MI-2781,9539447,Onboarded
MI-2781B,MI-2781B,8246012,Inactive
MI-35116,MI-35116,8032812,Onboarded
MI-2789,MI-2789,3420006,Onboarded
MI-1131L,MI-1131L,6622429,Onboarded
MI-2876,MI-2876,4193078,Removed
MI-28B,MI-28B,3700866,Removed
MI-303L,MI-303L,2505877,Removed
MI-3030XL,MI-3030XL,6160782,Onboarded
MI-303B,MI-303B,3894633,Onboarded
MI-3030,MI-3030,7132666,Onboarded
MI-3050,MI-3050,1826889,Onboarded
MI-31116,MI-31116,4173674,Onboarded
MI-305B,MI-305B,4218291,Onboarded
MI-305L,MI-305L,2793869,Onboarded
MI-306,MI-306,6839648,Removed
MI-310B,MI-310B,4140557,Removed
MI-310B24,MI-310B24,5766954,Removed
MI-310L,MI-310L,8671711,Onboarded
MI-31116B,MI-31116B,9380766,Onboarded
MI-3050XL,MI-3050XL,9471891,Removed
MI-3770W_G7,MI-3770W_G7,4862280,Removed
MI-43111,MI-43111,3946295,Onboarded
MI-318L,MI-318L,9427796,Onboarded
MI-319B,MI-319B,3990192,Onboarded
MI-319L,MI-319L,2393907,Onboarded
MI-43116,MI-43116,9385055,Onboarded
MI-32111-BLK,MI-32111-BLK,1799315,Onboarded
MI-4352LTMN,MI-4352LTMN,8874835,Onboarded
MI-32114_BLK,MI-32114_BLK,3896338,Removed
MI-45111,MI-45111,5012279,Onboarded
MI-32116_BLK,MI-32116_BLK,3143960,Onboarded
MI-326B,MI-326B,7938026,Onboarded
MI-326L,MI-326L,8671292,Removed
MI-45114,MI-45114,2316719,Onboarded
MI-33111-BLK,MI-33111-BLK,3159861,Onboarded
MI-502B,MI-502B,2764451,Onboarded
MI-33114_BLK,MI-33114_BLK,7578082,Onboarded
MI-52111,MI-52111,6774434,Onboarded
MI-33116-BLK,MI-33116-BLK,6093131,Onboarded
MI-55111,MI-55111,9477643,Onboarded
MI-55116,MI-55116,9634264,Onboarded
MI-34114_BLK,MI-34114_BLK,9837212,Onboarded
MI-63151,MI-63151,4675302,Onboarded
MI-345,MI-345,6000048,Onboarded
MI-346L,MI-346L,7356481,Onboarded
MI-349B,MI-349B,9427164,Removed
MI-350,MI-350,8123718,Removed
MI-351,MI-351,9888338,Removed
MI-35111,MI-35111,3919589,Onboarded
MI-35111_BLK,MI-35111_BLK,8415689,Onboarded
MI-63156,MI-63156,3984866,Onboarded
MI-35114_BLK,MI-35114_BLK,3507981,Onboarded
MI-65151,MI-65151,3353103,Onboarded
MI-35116_BLK,MI-35116_BLK,8438036,Onboarded
MI-352,MI-352,8425507,Removed
MI-355,MI-355,5313930,Onboarded
MI-356,MI-356,7176848,Removed
MI-361,MI-361,3644604,Removed
MI-363,MI-363,9430142,Onboarded
MI-365B,MI-365B,9429097,Removed
MI-367,MI-367,5313074,Onboarded
MI-368S,MI-368S,9426948,Removed
MI-372,MI-372,7854775,Onboarded
MI-373,MI-373,3330656,Removed
MI-374,MI-374,9122765,Removed
MI-3751,MI-3751,9523187,Removed
MI-3752,MI-3752,3790627,Removed
MI-65156,MI-65156,1336488,Onboarded
MI-376,MI-376,1926717,Removed
MI-377,MI-377,4195218,Removed
MI-3770W_G8,MI-3770W_G8,8677366,Removed
MI-3770B,MI-3770B,6807809,Removed
MI-3770B_G7,MI-3770B_G7,3330833,Removed
MI-3770B_G8,MI-3770B_G8,8881817,Removed
MI-7271,MI-7271,7146973,Inactive
MI-3770W_G8,MI-3770W_G8,8677366,Removed
MI-3771B,MI-3771B,5750775,Removed
MI-3771B_G7,MI-3771B_G7,4608310,Removed
MI-3771B_G8,MI-3771B_G8,6740661,Removed
MI-3771W_G7,MI-3771W_G7,8594368,Removed
MI-3771W_G8,MI-3771W_G8,6837804,Removed
MI-3772B,MI-3772B,8820265,Removed
MI-3772B,MI-3772B,8820265,Removed
MI-3772B_G7,MI-3772B_G7,4265064,Removed
MI-3772B_G8,MI-3772B_G8,8936438,Removed
MI-3772W_G7,MI-3772W_G7,9597013,Removed
MI-3772W_G8,MI-3772W_G8,6642645,Removed
MI-3774B,MI-3774B,2521348,Removed
MI-3774B_G7,MI-3774B_G7,3570150,Removed
MI-3774B_G8,MI-3774B_G8,7960265,Removed
MI-3774W,MI-3774W,8854550,Removed
MI-3774W_G7,MI-3774W_G7,3685134,Removed
MI-3774W_G8,MI-3774W_G8,6638482,Removed
MI-3775B,MI-3775B,3211163,Removed
MI-3775B,MI-3775B,3211163,Removed
MI-3780,MI-3780,2608064,Removed
MI-3781,MI-3781,5064100,Removed
MI-3784,MI-3784,9590747,Onboarded
MI-3785,MI-3785,5471465,Removed
MI-3786,MI-3786,4376120,Onboarded
MI-3788B,MI-3788B,8706677,Onboarded
MI-3788W,MI-3788W,7995279,Onboarded
MI-3789,MI-3789,4960708,Removed
MI-3792,MI-3792,3904881,Removed
MI-3793,MI-3793,9150081,Onboarded
MI-3794,MI-3794,9341106,Removed
MI-3795,MI-3795,6788962,Onboarded
MI-3796,MI-3796,6008227,Onboarded
MI-380,MI-380,8667605,Removed
MI-381,MI-381,8668267,Onboarded
MI-382,MI-382,3077561,Onboarded
MI-383,MI-383,7395688,Onboarded
MI-384,MI-384,9495121,Onboarded
MI-385,MI-385,8668362,Onboarded
MI-386,MI-386,6661975,Onboarded
MI-387,MI-387,8039960,Onboarded
MI-388,MI-388,6552296,Removed
MI-389,MI-389,9846454,Onboarded
MI-7282,MI-7282,9276963,Onboarded
MI-7293,MI-7293,8062305,Onboarded
MI-392,MI-392,9885692,Onboarded
MI-393,MI-393,8096598,Onboarded
MI-394,MI-394,6811884,Onboarded
