Parent Sku,Marketplace SKU,SKU
MI-8032,MI-8032,n/a
MI-4752,MI-4752,n/a
MI-4752WHT,MI-4752WHT,n/a
MI-8752BLK,MI-8752BLK,n/a
MI-4751BLK,MI-4751BLK,n/a
MI-4751WHT,MI-4751WHT,n/a
MI-4781,MI-4781,n/a
MI-10201,MI-10201,5677904
MI-10203,MI-10203,3079895
MI-1121L,MI-1121L,8426419
MI-1121M,MI-1121M,9427904
MI-363,MI-363,9430142
MI-1210S,MI-1210S,5277964
MI-1214S,MI-1214S,5333063
MI-3991XL,MI-3991XL,3836135
MI-13050XL,MI-13050XL,6858998
MI-20103,MI-20103,8633151
MI-1401,MI-1401,7346881
MI-1752,MI-1752,9698521
MI-1753,MI-1753,2500080
MI-1757,MI-1757,2868992
MI-20105,MI-20105,4125411
MI-1761,MI-1761,3242002
MI-20107,MI-20107,6023544
MI-20119,MI-20119,7891640
MI-1771B,MI-1771B,9343367
MI-1772B,MI-1772B,4799758
MI-1781,MI-1781,5331939
MI-1860,MI-1860,5380643
MI-20202,MI-20202,5707778
MI-1874,MI-1874,9883141
MI-1875,MI-1875,9008678
MI-1876,MI-1876,5112650
MI-1878,MI-1878,5902863
MI-1879,MI-1879,8044610
MI-20305,MI-20305,6573329
MI-20810,MI-20810,4560042
MI-31111,MI-31111,4611013
MI-32111,MI-32111,2618197
MI-514,MI-514,6821744
MI-20201,MI-20201,8647914
MI-32114,MI-32114,8189657
MI-32116,MI-32116,6869012
MI-203T,MI-203T,4063268
MI-2041,MI-2041,6034485
MI-20411,MI-20411,3357729
MI-20412,MI-20412,8995109
MI-33111,MI-33111,6000677
MI-2041L,MI-2041L,9427943
MI-2042,MI-2042,6991639
MI-20422,MI-20422,4304730
MI-2042L,MI-2042L,8671863
MI-2065L,MI-2065L,7642392
MI-20701,MI-20701,7342161
MI-33114,MI-33114,2144843
MI-2171L,MI-2171L,5045721
MI-2244T,MI-2244T,9428024
MI-2291,MI-2291,9427532
MI-33116,MI-33116,4791326
MI-34111,MI-34111,3628556
MI-34114,MI-34114,8379538
MI-2751,MI-2751,5422043
MI-2751NB,MI-2751NB,7666937
MI-2752,MI-2752,9805887
MI-34116,MI-34116,8653755
MI-2753,MI-2753,3854141
MI-35114,MI-35114,7928645
MI-2761,MI-2761,8740995
MI-2762,MI-2762,8761343
MI-2772,MI-2772,7641039
MI-2781,MI-2781,9539447
MI-2781B,MI-2781B,8246012
MI-35116,MI-35116,8032812
MI-2789,MI-2789,3420006
MI-1131L,MI-1131L,6622429
MI-2876,MI-2876,4193078
MI-28B,MI-28B,3700866
MI-303L,MI-303L,2505877
MI-3030XL,MI-3030XL,6160782
MI-303B,MI-303B,3894633
MI-3030,MI-3030,7132666
MI-3050,MI-3050,1826889
MI-31116,MI-31116,4173674
MI-305B,MI-305B,4218291
MI-305L,MI-305L,2793869
MI-306,MI-306,6839648
MI-310B,MI-310B,4140557
MI-310B24,MI-310B24,5766954
MI-310L,MI-310L,8671711
MI-31116B,MI-31116B,9380766
MI-3050XL,MI-3050XL,9471891
MI-3770W_G7,MI-3770W_G7,4862280
MI-43111,MI-43111,3946295
MI-318L,MI-318L,9427796
MI-319B,MI-319B,3990192
MI-319L,MI-319L,2393907
MI-43116,MI-43116,9385055
MI-32111-BLK,MI-32111-BLK,1799315
MI-4352LTMN,MI-4352LTMN,8874835
MI-32114_BLK,MI-32114_BLK,3896338
MI-45111,MI-45111,5012279
MI-32116_BLK,MI-32116_BLK,3143960
MI-326B,MI-326B,7938026
MI-326L,MI-326L,8671292
MI-45114,MI-45114,2316719
MI-33111-BLK,MI-33111-BLK,3159861
MI-502B,MI-502B,2764451
MI-33114_BLK,MI-33114_BLK,7578082
MI-52111,MI-52111,6774434
MI-33116-BLK,MI-33116-BLK,6093131
MI-55111,MI-55111,9477643
MI-55116,MI-55116,9634264
MI-34114_BLK,MI-34114_BLK,9837212
MI-63151,MI-63151,4675302
MI-345,MI-345,6000048
MI-346L,MI-346L,7356481
MI-349B,MI-349B,9427164
MI-350,MI-350,8123718
MI-351,MI-351,9888338
MI-35111,MI-35111,3919589
MI-35111_BLK,MI-35111_BLK,8415689
MI-63156,MI-63156,3984866
MI-35114_BLK,MI-35114_BLK,3507981
MI-65151,MI-65151,3353103
MI-35116_BLK,MI-35116_BLK,8438036
MI-352,MI-352,8425507
MI-355,MI-355,5313930
MI-356,MI-356,7176848
MI-361,MI-361,3644604
MI-365B,MI-365B,9429097
MI-367,MI-367,5313074
MI-368S,MI-368S,9426948
MI-372,MI-372,7854775
MI-373,MI-373,3330656
MI-374,MI-374,9122765
MI-3751,MI-3751,9523187
MI-3752,MI-3752,3790627
MI-65156,MI-65156,1336488
MI-376,MI-376,1926717
MI-377,MI-377,4195218
MI-3770W_G8,MI-3770W_G8,8677366
MI-3770B,MI-3770B,6807809
MI-3770B_G7,MI-3770B_G7,3330833
MI-3770B_G8,MI-3770B_G8,8881817
MI-7271,MI-7271,7146973
MI-3771B,MI-3771B,5750775
MI-3771B_G7,MI-3771B_G7,4608310
MI-3771B_G8,MI-3771B_G8,6740661
MI-3771W_G7,MI-3771W_G7,8594368
MI-3771W_G8,MI-3771W_G8,6837804
MI-3772B,MI-3772B,8820265
MI-3772B_G7,MI-3772B_G7,4265064
MI-3772B_G8,MI-3772B_G8,8936438
MI-3772W_G7,MI-3772W_G7,9597013
MI-3772W_G8,MI-3772W_G8,6642645
MI-3774B,MI-3774B,2521348
MI-3774B_G7,MI-3774B_G7,3570150
MI-3774B_G8,MI-3774B_G8,7960265
MI-3774W,MI-3774W,8854550
MI-3774W_G7,MI-3774W_G7,3685134
MI-3774W_G8,MI-3774W_G8,6638482
MI-3775B,MI-3775B,3211163
MI-3780,MI-3780,2608064
MI-3781,MI-3781,5064100
MI-3784,MI-3784,9590747
MI-3785,MI-3785,5471465
MI-3786,MI-3786,4376120
MI-3788B,MI-3788B,8706677
MI-3788W,MI-3788W,7995279
MI-3789,MI-3789,4960708
MI-3792,MI-3792,3904881
MI-3793,MI-3793,9150081
MI-3794,MI-3794,9341106
MI-3795,MI-3795,6788962
MI-3796,MI-3796,6008227
MI-380,MI-380,8667605
MI-381,MI-381,8668267
MI-382,MI-382,3077561
MI-383,MI-383,7395688
MI-384,MI-384,9495121
MI-385,MI-385,8668362
MI-386,MI-386,6661975
MI-387,MI-387,8039960
MI-388,MI-388,6552296
MI-389,MI-389,9846454
MI-7282,MI-7282,9276963
MI-7293,MI-7293,8062305
MI-392,MI-392,9885692
MI-393,MI-393,8096598
MI-394,MI-394,6811884
MI-3990,MI-3990,7326286
MI-3991B,MI-3991B,6803358
MI-3991L,MI-3991L,5124526
MI-75801,MI-75801,6275054
MI-404,MI-404,5121760
MI-405,MI-405,3702894
MI-407-1,MI-407-1,7602663
MI-411,MI-411,4809171
MI-4110,MI-4110,7076761
MI-411L,MI-411L,5595268
MI-415,MI-415,5913598
MI-4151,MI-4151,5609985
MI-4152,MI-4152,4718425
MI-4200,MI-4200,8614231
MI-4211,MI-4211,6235151
MI-4222,MI-4222,6835761
MI-4223,MI-4223,7467368
