new item id,current item id
24596723,24596723
2093746,2093746
2093752,2093752
2093755,2093755
2093759,2093759
2093778,2093778
2093779,2093779
2093789,2093789
2093790,2093790
2093792,2093792
2093799,2093799
2093806,2093806
2093807,2093807
2093816,2093816
2093839,2093839
2093842,2093842
24056230,24056230
24056241,24056241
24056242,24056242
24056243,24056243
24056247,24056247
24056248,24056248
24056257,24056257
24056260,24056260
24056270,24056270
24148267,24148267
24148269,24148269
24148272,24148272
24148273,24148273
24148275,24148275
24148276,24148276
24148278,24148278
24148280,24148280
24148284,24148284
24148287,24148287
24192239,24192239
24288072,24288072
24288080,24288080
24288087,24288087
24303064,24303064
24303065,24303065
24394920,24394920
24394923,24394923
24394925,24394925
24394928,24394928
24394929,24394929
24394930,24394930
24394931,24394931
24394932,24394932
24394933,24394933
24394934,24394934
24394935,24394935
24394940,24394940
24394944,24394944
24394945,24394945
24424440,24424440
24425080,24425080
24425081,24425081
24425082,24425082
24425084,24425084
24425086,24425086
24425087,24425087
24425089,24425089
24425090,24425090
24425091,24425091
24425092,24425092
24425093,24425093
24425097,24425097
24425098,24425098
24425100,24425100
24425101,24425101
24425103,24425103
24425105,24425105
24425108,24425108
24425109,24425109
24425111,24425111
24425112,24425112
24425115,24425115
24425119,24425119
24425120,24425120
24425121,24425121
24425122,24425122
24425123,24425123
24425126,24425126
24425127,24425127
24425129,24425129
24425132,24425132
24425133,24425133
24425137,24425137
24425138,24425138
24425139,24425139
24425140,24425140
24425141,24425141
24425144,24425144
24427397,24427397
24465864,24465864
24465867,24465867
24465868,24465868
24465869,24465869
24465873,24465873
24465875,24465875
24465882,24465882
24465886,24465886
24465888,24465888
24465889,24465889
24465891,24465891
24465893,24465893
24465895,24465895
24465896,24465896
24465902,24465902
24465904,24465904
24465914,24465914
24465917,24465917
24465919,24465919
24465920,24465920
24465921,24465921
24465923,24465923
24465925,24465925
24465926,24465926
24476944,24476944
24476951,24476951
24476956,24476956
24476960,24476960
24476962,24476962
24476981,24476981
24476987,24476987
24493596,24493596
24503005,24503005
24503007,24503007
24503010,24503010
24503013,24503013
24503019,24503019
24503021,24503021
24503023,24503023
24503024,24503024
24503025,24503025
24503026,24503026
24503028,24503028
24503030,24503030
24503031,24503031
24503036,24503036
24504682,24504682
24507514,24507514
24553829,24553829
24553830,24553830
24553831,24553831
24553832,24553832
24553833,24553833
24553834,24553834
24554105,24554105
24554106,24554106
24554107,24554107
24554108,24554108
24590806,24590806
24564152,24564152
24567955,24567955
24571272,24571272
24578085,24578085
24581748,24581748
24581749,24581749
24581750,24581750
24581751,24581751
24581752,24581752
24581753,24581753
24584922,24584922
2607851,2607851
2614674,2614674
2614677,2614677
2614694,2614694
2614731,2614731
2614734,2614734
2614737,2614737
2614740,2614740
2614746,2614746
2614774,2614774
2614777,2614777
2614778,2614778
2614779,2614779
2614783,2614783
2614786,2614786
2614787,2614787
2614795,2614795
2614797,2614797
2614810,2614810
2632689,2632689
2632699,2632699
2632705,2632705
2632708,2632708
2632716,2632716
2632719,2632719
2632746,2632746
2632758,2632758
2093730,2093730
2093732,2093732
2093734,2093734
2093735,2093735
2093737,2093737
2093739,2093739
2093740,2093740
2093741,2093741
2093742,2093742
2093743,2093743
2093744,2093744
2093747,2093747
2093748,2093748
2093749,2093749
2093750,2093750
2093751,2093751
2093756,2093756
2093780,2093780
2093782,2093782
2093784,2093784
2093785,2093785
2093793,2093793
2093794,2093794
2093796,2093796
2093798,2093798
2093804,2093804
2093809,2093809
2093810,2093810
2093811,2093811
2093813,2093813
2093815,2093815
2093817,2093817
2093818,2093818
2093819,2093819
2093820,2093820
2093824,2093824
2093825,2093825
2093827,2093827
2093828,2093828
2093829,2093829
2093833,2093833
2093835,2093835
2093837,2093837
2093841,2093841
2093843,2093843
24056228,24056228
24056229,24056229
24056231,24056231
24056232,24056232
24056233,24056233
24056245,24056245
24056246,24056246
24056250,24056250
24056254,24056254
24056255,24056255
24056256,24056256
24056259,24056259
24056262,24056262
24056263,24056263
24056264,24056264
24056265,24056265
24056266,24056266
24148263,24148263
24148264,24148264
24148265,24148265
24148266,24148266
24148268,24148268
24148270,24148270
24148271,24148271
24148274,24148274
24148279,24148279
24148281,24148281
24148282,24148282
24148283,24148283
24148285,24148285
24148286,24148286
24288074,24288074
24288075,24288075
24288077,24288077
24288078,24288078
24288084,24288084
24288085,24288085
24288086,24288086
24288088,24288088
24288089,24288089
24303058,24303058
24303060,24303060
24303063,24303063
24308884,24308884
24308886,24308886
24308888,24308888
24308889,24308889
24394921,24394921
n/a,24394936
24394936,24394939
24394939,24394941
24394941,24395051
24395051,24395052
24395052,24395053
24395053,24395054
24395054,24395055
24395055,24395057
24395057,24395058
24395058,24395060
24395060,24395062
24395062,24395063
24395063,24395066
24395066,24395067
24395067,24395068
24395068,24395069
24395069,24395070
24395070,24395071
24395071,24395072
24395072,24395073
24395073,24424434
24424434,24424436
24424436,24424437
24424437,24425085
24425085,24425094
24425094,24425096
24425096,24425099
24425099,24425106
24425106,24425110
24425110,24425113
24425113,24425114
24425114,24425116
24425116,24425124
24425124,24425125
24425125,24425128
24425128,24425130
24425130,24425134
24425134,24425143
24425143,24429644
24429644,24429646
24429646,24429647
24429647,24463396
24463396,24463397
24463397,24463398
24463398,24463399
24463399,24465862
24465862,24465865
24465865,24465871
24465871,24465872
24465872,24465874
n/a,24465878
24465874,24465881
24465878,24465883
24465881,24465885
24465883,24465887
24465885,24465892
24465887,24465894
24465892,24465897
24465894,24465899
24465897,24465905
24465899,24465907
24465905,24465908
24465907,24465910
24465908,24465918
24465910,24465924
24465918,24471906
24465924,24476942
24471906,24476945
24476942,24476948
24476945,24476950
24476948,24476952
24476950,24476953
24476952,24476954
24476953,24476955
24476954,24476965
24476955,24476967
24476965,24476970
24476967,24476972
24476970,24476973
24476972,24476974
24476973,24476975
24476974,24476979
24476975,24476983
24476979,24476988
24476983,24477027
24476988,24479661
24477027,24479662
24479661,24485660
24479662,24485661
24485660,24485662
24485661,24485663
24485662,24485664
24485663,24485665
24485664,24485666
24485665,24493597
24485666,24499431
24493597,24499432
24499431,24499433
24499432,24499434
24499433,24499631
24499434,24499783
24499631,24499784
24499783,24499785
24499784,24499786
24499785,24499787
24499786,24499788
24503022,24503006
24503027,24503008
24503029,24503009
24503032,24503011
24503033,24503014
24503034,24503016
24503035,24503018
24503037,24503020
24503038,24503022
24503039,24503027
24503695,24503029
24503697,24503032
24503698,24503033
24503700,24503034
24503702,24503035
24506400,24503037
24506401,24503038
24508204,24503039
24508205,24503695
24508206,24503697
24508207,24503698
24509986,24503700
24509987,24503702
24509988,24506400
24509989,24506401
24520137,24508204
24520138,24508205
24520139,24508206
24520140,24508207
24520141,24509986
24520142,24509987
24520143,24509988
24520144,24509989
24520145,24520137
24520146,24520138
24520147,24520139
24520148,24520140
24520483,24520141
24520484,24520142
24525808,24520143
24525809,24520144
24534103,24520145
24534104,24520146
24534105,24520147
24534106,24520148
n/a,24520483
24534107,24520484
24534108,24525808
24534109,24525809
24534110,24534103
24534111,24534104
24534112,24534105
24534113,24534106
24534114,24534107
24534115,24534108
24534116,24534109
24534117,24534110
24534118,24534111
24534119,24534112
24534120,24534113
2607844,24534114
2607850,24534115
2607853,24534116
2607854,24534117
2614673,24534118
2614687,24534119
2614688,24534120
2614690,2607844
2614735,2607850
2614738,2607853
2614739,2607854
2614749,2614673
2614751,2614687
2614752,2614688
2614756,2614690
2614758,2614735
2614762,2614738
2614763,2614739
2614764,2614749
2614765,2614751
2614771,2614752
2614775,2614756
2614776,2614758
2614780,2614762
2614784,2614763
2614785,2614764
2614794,2614765
2614800,2614771
2614801,2614775
2614802,2614776
2614811,2614780
2614812,2614784
2614816,2614785
2632684,2614794
2632685,2614800
2632686,2614801
2632687,2614802
2632688,2614811
2632690,2614812
2632691,2614816
2632692,2632684
2632694,2632685
2632695,2632686
2632696,2632687
2632698,2632688
2632700,2632690
2632701,2632691
2632709,2632692
2632711,2632694
2632712,2632695
2632714,2632696
2632715,2632698
2632718,2632700
2632720,2632701
2632721,2632709
2632723,2632711
2632747,2632712
2632748,2632714
2632755,2632715
2632759,2632718
2632761,2632720
24592370,2632721
24592361,2632723
24592365,2632747
24592373,2632748
24592369,2632755
24592371,2632759
24592364,2632761
24592362,24592370
24592363,24592361
24592367,24592365
24592368,24592373
24592374,24592369
n/a,24592371
24590917,24592364
24590918,24592362
24590919,24592363
24590921,24592367
24590915,24592368
24590916,24592374
24590920,n/a
24591130,24590917
n/a,24590918
24591126,24590919
24591127,24590921
24591123,24590915
24591124,24590916
24591128,24590920
24591129,24591130
24591125,24591126
24592366,24591127
24592372,24591123
24596730,24591124
24596732,24591128
24596731,24591129
24596722,24591125
24596721,24592366
24588274,24592372
24588275,24596730
24588277,24596732
24588278,24596731
24597226,24596722
24596872,24596721
n/a,24588274
24394943,24588275
n/a,24588277
n/a,24588278
n/a,24597226
n/a,24596872
n/a,n/a
n/a,24394943
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,2614737
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
24598111,n/a
24598110,n/a
24598109,n/a
24598108,n/a
24598107,n/a
24600544,n/a
24288071,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,24598111
n/a,24598110
n/a,24598109
n/a,24598108
n/a,24598107
n/a,24600544
n/a,24288071
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
24606164,n/a
24606167,n/a
24606165,n/a
24606166,n/a
n/a,n/a
n/a,n/a
n/a,n/a
2093753,n/a
24056236,n/a
24588273,n/a
24588276,n/a
24600535,n/a
24600536,n/a
24600537,n/a
24600538,n/a
24600539,n/a
24600540,n/a
24600541,n/a
24600542,n/a
24600543,n/a
24600545,n/a
24600546,n/a
24600547,n/a
24600548,n/a
24600549,n/a
24608073,n/a
24608074,n/a
24608075,n/a
24608952,2614674
24608953,24606164
24608954,24606167
24608955,24606165
24608957,24606166
24608958,n/a
24608960,n/a
24608961,n/a
24608963,2093753
24608966,24056236
24608968,24588273
24608970,24588276
2607818,24600535
2614672,24600536
2614757,24600537
2614766,24600538
2614768,24600539
3096810,24600540
n/a,24600541
n/a,24600542
n/a,24600543
n/a,24600545
n/a,24600546
n/a,24600547
n/a,24600548
n/a,24600549
n/a,24608073
n/a,24608074
n/a,24608075
n/a,24608952
n/a,24608953
n/a,24608954
n/a,24608955
n/a,24608957
n/a,24608958
n/a,24608960
n/a,24608961
n/a,24608963
n/a,24608966
n/a,24608968
n/a,24608970
n/a,2607818
n/a,2607820
n/a,2607821
n/a,2607822
n/a,2607845
n/a,2607846
24615368,2607847
24615370,2614672
24615372,2614757
24615371,2614760
24615369,2614761
24615367,2614766
n/a,2614768
n/a,2632713
n/a,2632762
n/a,2632763
n/a,2632764
n/a,2632765
24625971,2632766
24625972,3096810
24625973,n/a
24625974,n/a
24625975,n/a
24652383,n/a
24652384,n/a
24652385,n/a
24652386,n/a
24652387,n/a
24652388,n/a
24652389,n/a
24652390,n/a
24652391,n/a
