username,posts,followers,following,bio,profileUrl,country,isShop
parenting,660 posts,74.9K followers,343 following,"Parenting
Modern families. Fresh ideas. Parenting.com
linktr.ee/parenting",https://www.instagram.com/parenting/,unknown,yes
knees2chest,289 posts,529 followers,432 following,"Olga Bakuś
Life is not perfect, and neither is this profile.
Active mom 💪",https://www.instagram.com/knees2chest/,Poland,no
kelsface55,"1,159 posts",902 followers,"1,183 following","Kelsi Amouak-unintentionally found intentional living
Entrepreneur
•Practicing anti-racist parenting
•Skeptic turned Essential oil enthusiast
•Rooting for your success
Kelsi Jo Amouak and 1 more",https://www.instagram.com/kelsface55/,unknown,no
mr_initiatives_,84 posts,228 followers,12 following,"🅼🆁 🅸🅽🅸🆃🅸🅰🆃🅸🆅🅴🆂
Education
ᴀɴ ɪɴɴᴏᴠᴀᴛɪᴠᴇ ᴀᴘᴘʀᴏᴀᴄh to ........ 🌎🌎
🆂🅰🆅🅴 🅿🅴🅾🅿🅻🅴 🆂🅰🆅🅴 🆆🅾🆁🅻🅳
..
🅼🆁 🅸🅽🅸🆃🅸🅰🆃🅸🆅🅴🆂 🅵🅾🆄🅽🅳🅰🆃🅸🅾🅽
𝐀 𝐩𝐥𝐚𝐜𝐞 𝐰𝐡𝐞𝐫𝐞 𝐥𝐢𝐟𝐞 𝐛𝐞𝐠𝐢𝐧𝐬 🫀🫁... 
more",https://www.instagram.com/mr_initiatives_/,unknown,no
b_arnhemx,0 posts,,,026📍,https://www.instagram.com/b_arnhemx/,unknown,no
mariam.m.magdi,464 posts,23.6K followers,483 following,"Mariam Magdi | Parenting & Wellbeing Coach
📍@seedsclinics
✨️Family Counsellor
(parents & kids sessions)
💕School Counsellor
✨... 
more
linktr.ee/Mariam_Coach",https://www.instagram.com/mariam.m.magdi/,unknown,no
diepi_diep,67 posts,648 followers,"1,127 following","Diep Nguyen
Not a business
Person des unöffentlichen Lebens
Feel good Fotografin
diepi.cargo.site",https://www.instagram.com/diepi_diep/,Germany,no
toyflix.in,496 posts,19K followers,50 following,"TOYFLIX | Toy rental service
🛑 Say goodbye to toy clutter
🚀 Trusted by 2000+ happy families
🎁 New toys, big smiles - without breaking
the bank 💰
👇... 
more
toyflix.in and 2 more",https://www.instagram.com/toyflix.in/,India,yes
limitlauncher,78 posts,25 followers,2 following,"Limit Launcher
Product/service
🕙 Easily manage computer gaming time
👨‍🎓 Prevent gaming addiction
👇Start your FREE trial👇
linktr.ee/limitlauncher",https://www.instagram.com/limitlauncher/,unknown,yes
portal_ciazowy,795 posts,915 followers,333 following,"Portal Ciazowy
🤰Wszystko o ciąży, porodzie i macierzyństwie 
👶 Porady ekspertów i praktyczne wskazówki
📭 Współpraca: biuro@ciazowy.pl... 
more
ciazowy.pl/co-robic-z-dziecmi-we-wrzesniu",https://www.instagram.com/portal_ciazowy/,Poland,yes
prettygirlcharm,"1,243 posts",12K followers,"1,848 following","Lina Besada Broche | PGC Luxury Jewelry
prettygirlcharm
A corner for Millennial Moms where pretty sparkly jewelry, hacking happiness, moms supporting moms, cute outfits,... 
more
prettygirlcharm.com/pages/pgclink",https://www.instagram.com/prettygirlcharm/,unknown,yes
nicole_engelmann_fox,140 posts,,,"Nicole Fox
Mama surviving on faith, coffee and chaos!…Life is messy and so is my feed.",https://www.instagram.com/nicole_engelmann_fox/,unknown,no
baby.back.shop,979 posts,114K followers,"4,222 following","Ropa de niños de las mejores marcas
baby.back.shop
Seguinos @way.back.shop
👶👦👧 De 0 a 16 años
💸 Hasta 70% OFF y 📦 envíos a todo el pais
Compra... 
more
www.babybackshop.com.ar and 1 more",https://www.instagram.com/baby.back.shop/,Argentina,yes
rubensbarn,"1,952 posts",22K followers,"1,311 following","Rubens Barn Dolls
Games/toys
Play your way to a kinder future with soft, handmade dolls 💕
▪️A part of @mickiofsweden
▪️Barn = children in Swedish... 
more
linktr.ee/mickiofsweden",https://www.instagram.com/rubensbarn/,Sweden,yes
sweetfacesweetpea,99 posts,91 followers,41 following,"Sweet Pea
Nicknames: Ween, Weiner, Sweetness, Sweet, Sweet Face
Professional Pouter 🥺
All around sass pants 💁‍♀️👖",https://www.instagram.com/sweetfacesweetpea/,unknown,no
