trackingDate,itemId,marketplaceSku,productTitle,price,inStock,url
2025-12-05T03:06:15.000Z,52399718,MI-732,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:15.000Z,53187335,MI-426,"Mount-It! Laptop Vehicle Holder Stand with Full Motion Design for Autos, Vans, and Trucks (MI-426)",166.99,TRUE,https://www.quill.com/undefined/cbs/53187335.html
2025-12-05T03:06:15.000Z,53187827,MI-526,"Mount-It! Vehicle Laptop Holder for Commercial Vehicles, Trucks (MI-526)",202.89,TRUE,https://www.quill.com/undefined/cbs/53187827.html
2025-12-05T03:06:15.000Z,55376294,MI-7280,"Mount-It! ABS Plastic Cable Organizer System, 50.5"", Black (MI-7280)",46.59,TRUE,https://www.quill.com/undefined/cbs/55376294.html
2025-12-05T03:06:15.000Z,55376334,MI-7281,"Mount-It! 3-Outlet 3-USB Port 5' Surge Protector with Clamp Desk Mount, White (MI-7281)",56.89,TRUE,https://www.quill.com/undefined/cbs/55376334.html
2025-12-05T03:06:15.000Z,55419331,MI-7282,"Mount-It! Under-Desk Cable Tray, Black (MI-7282)",37.29,TRUE,https://www.quill.com/undefined/cbs/55419331.html
2025-12-05T03:06:15.000Z,55447547,MI-7281B,"Mount-It! 3-Outlet 3-USB Port 5' Surge Protector with Clamp Desk Mount, Black (MI-7281B)",56.89,TRUE,https://www.quill.com/undefined/cbs/55447547.html
2025-12-05T03:06:15.000Z,54578290,MI-908,"Mount-It! Folding Plastic Storage Crate, 65L Liter Capacity",63.99,TRUE,https://www.quill.com/undefined/cbs/54578290.html
2025-12-05T03:06:15.000Z,55412752,WI-3003,"Mount-It! 52 Qt. Open Lid Milk Crate, Black, 3/Pack (WI-3003)",97.99,TRUE,https://www.quill.com/undefined/cbs/55412752.html
2025-12-05T03:06:15.000Z,55412753,MI-910,"Mount-It! 68.68 Qt. Storage Bin with Hinged Lid, Plastic, Clear/Blue, 3/Pack (MI-910)",124.99,TRUE,https://www.quill.com/undefined/cbs/55412753.html
2025-12-05T03:06:45.000Z,52399741,MI-411L,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:45.000Z,52399751,MI-326L,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:45.000Z,52399764,MI-303B,"Mount-It! Tilt Wall TV Mount for 37"" - 80"" Screens, 175 lbs. Max. (MI-303B)",64.99,TRUE,https://www.quill.com/undefined/cbs/52399764.html
2025-12-05T03:06:45.000Z,52399774,MI-2041L,"Mount-It! Articulating Wall TV Mount for 23 - 42"" Screens, 66 lbs. Max. (MI-2041L)",33.99,TRUE,https://www.quill.com/undefined/cbs/52399774.html
2025-12-05T03:06:45.000Z,52399782,MI-2065L,"Mount-It! Full-Motion TV Wall Mount for 23"" to 55"" Flat Screens (MI-2065L)",48.99,TRUE,https://www.quill.com/undefined/cbs/52399782.html
2025-12-05T03:06:45.000Z,52399785,MI-319B,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:45.000Z,52399788,MI-318L,"Mount-It! Heavy Duty Tilting TV Wall Mount for 43""-90"" TVs (MI-318L)",48.99,TRUE,https://www.quill.com/undefined/cbs/52399788.html
2025-12-05T03:06:45.000Z,52399794,MI-4601,"Mount-It! Full Motion Articulating TV Wall Mount for 19"" to 42"" TVs (MI-4601)",25.79,FALSE,https://www.quill.com/undefined/cbs/52399794.html
2025-12-05T03:06:45.000Z,52399815,MI-346L,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:45.000Z,53187108,MI-867,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:53.000Z,53187115,MI-875,"Mount-It! 2-Shelf Mobile Height Adjustable TV Cart for 32""-70"" Displays, Gray (MI-875)",391.99,TRUE,https://www.quill.com/undefined/cbs/53187115.html
2025-12-05T03:06:53.000Z,53187194,MI-846,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:53.000Z,53187325,MI-863,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:53.000Z,53187340,MI-4222,"Mount-It! Under Cabinet Folding TV Bracket for 17""-37"" Flatscreeens (MI-4222)",66.99,TRUE,https://www.quill.com/undefined/cbs/53187340.html
2025-12-05T03:06:53.000Z,53187396,MI-891,"Mount-It! Floating Wall Mounted Shelf Bracket Stand, 14.2"" x 9.8"" (MI-891)",31.99,TRUE,https://www.quill.com/undefined/cbs/53187396.html
2025-12-05T03:06:53.000Z,53187503,TS-7005,"Mount-It! Turcom LED Desk Lamp, 16"", with USB Port, White (TS-7005)",92.99,TRUE,https://www.quill.com/undefined/cbs/53187503.html
2025-12-05T03:06:53.000Z,53187611,MI-870,Not Found,NaN,Not Found,n/a
2025-12-05T03:06:53.000Z,53187640,TS-7006,"Mount-It! LED Desk Lamp, 16"", White (TS-7006)",98.99,TRUE,https://www.quill.com/undefined/cbs/53187640.html
2025-12-05T03:06:53.000Z,53187734,MI-878,"Mount-It! Pedestal TV Stand, Screens up to 42"", Black (MI-878)",102.99,TRUE,https://www.quill.com/undefined/cbs/53187734.html
2025-12-05T03:06:53.000Z,53187742,MI-802,Not Found,NaN,Not Found,n/a
2025-12-05T03:07:08.000Z,53187799,MI-8401,"Mount-It! TV Wall Mount Bracket for Cable Box, DVD Player, Stereo Components Shelf (1 Shelf) (MI-8401)",67.99,TRUE,https://www.quill.com/undefined/cbs/53187799.html
2025-12-05T03:07:08.000Z,53187868,MI-876,"Mount-It! Steel Mobile TV Cart Stand, Black (MI-876)",211.99,TRUE,https://www.quill.com/undefined/cbs/53187868.html
2025-12-05T03:07:08.000Z,53187881,MI-893,Mount-It! Wall Mounted Shelf Bracket Stand with 3 Glass Shelves (MI-893),85.99,TRUE,https://www.quill.com/undefined/cbs/53187881.html
2025-12-05T03:07:08.000Z,54578288,MI-7818,"Mount-It! Hard Floor Chair Mat with Lip, 35.5"" x 47"", Clear Vinyl (MI-7818)",57.79,TRUE,https://www.quill.com/undefined/cbs/54578288.html
2025-12-05T03:07:08.000Z,54578293,MI-7817,"Mount-It! Carpet Chair Mat with Lip, 35.5"" x 47"", Clear Vinyl (MI-7817)",66.99,TRUE,https://www.quill.com/undefined/cbs/54578293.html
2025-12-05T03:07:08.000Z,54578294,MI-7943,"Mount-It! Mobile Projector Stand with Laptop Tray, Black (MI-7943)",132.39,TRUE,https://www.quill.com/undefined/cbs/54578294.html
2025-12-05T03:07:08.000Z,54578296,MI-7906,"Mount-It! Sit Stand Wall Mount Workstation, Articulating Standing Desk for Dual Monitors, Floating Keyboard Tray (MI-7906)",323.49,TRUE,https://www.quill.com/undefined/cbs/54578296.html
2025-12-05T03:07:08.000Z,54578297,MI-7854,Not Found,NaN,Not Found,n/a
